Matrix ID,Matrix Tag Comment,Matrix Type,Diff. Matrix Info.,Branch/Terr.,Home Branch,Bill To ID,Customer ID,Customer Name,Price Class,Outside Salesperson,Price Line,SellGroupAll,SellGroupMscAll,SellGroupMregAll,PROD_NBR,Product Description,Price Date Ovrd.,LIST,UMSP,CMP,STD-COST,REP-COST,AVG-COST,LASTCOST,Lnd Cost,Avg Lnd,Price Basis#,Price Formula,Qty Break Basis,Qty Break Formula,Qty Brk. Form Constant,Qty Break Points,Qty Break UOM,Qty Brk. Form Multplier,Split Qty,Cost Basis#,Cost Formula,Effective Date,Expire Date,Enable Rnding Rules
1029~159~1001225~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,1001225,MILWTL 10 TONGUE & GROOVE PLIERS,,24.600,21.000,15.340,11.124,10.800,10.800,10.800,10.800,10.800,5,*1.4286,5,*1.4286,0,,,142860000,N,,,04/01/2022,06/30/2022,N
1044~159~6613~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,6613,MALCO REDLINE HAND NOTCHER N1R,,82.367,0,102.380,41.184,39.984,39.984,39.984,39.984,39.984,28,GP12.47,28,GP12.47,0,,,114246544,N,,,12/01/2021,06/30/2022,N
1002~159~581157~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581157,REHAU 1/2X1/2 MPT EVERLOC LF BRS,,5.740,0,6.826,2.542,2.468,2.468,2.468,2.468,2.468,28,GP16.51,28,GP16.51,0,,,119774823,N,,,12/01/2021,06/30/2022,N
1002~159~581171~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581171,REHAU EVERLOC POLY CLSD-END,,14.650,0,16.762,6.489,6.300,6.300,6.300,6.300,6.300,28,GP22.27,28,GP22.27,0,,,128650457,N,,,12/01/2021,06/30/2022,N
1002~159~607607~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,607607,REHAU 1-1/4X1-1/4X1 EVERLOC POLY,,14.730,0,17.507,6.524,6.334,6.334,6.334,6.334,6.334,28,GP28.05,28,GP28.05,0,,,138985407,N,,,12/01/2021,06/30/2022,N
1029~159~606850~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,606850,MILWTL PACKOUT COMPACT ORGANIZER,,58.000,50.000,34.970,26.780,26.000,26.000,26.000,26.000,26.000,5,*1.25,5,*1.25,0,,,125000000,N,,,04/01/2022,06/30/2022,N
1002~159~674338~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK5,674338,REHAU 2 RAUPEX WH UV SHIELD PIPE 20,,12.436,0,13.835,5.507,5.347,5.347,5.347,5.347,5.347,28,GP22.01,28,GP22.01,0,,,128221567,N,,,12/01/2021,06/30/2022,N
1100~159~83207~19694.2,,N,,1100,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,ESSICK,ESSICK,ESSICK,MA4,83207,ESSICK ULTRACOOL RESIDENTIAL 120,,1710.006,0,1395.360,684.002,664.080,664.080,664.080,664.080,664.080,28,GP7.5,28,GP7.5,0,,,108108108,N,,,12/01/2021,06/30/2022,N
1002~159~1073693~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIVTECH,DIVTECH,DIVTECH,DIVTECH,1073693,DIVERS HEAT PUMP RISER 2 PCS 3 IN,,6.080,0,4.833,2.431,2.360,2.360,2.360,2.360,2.360,1,$3.500,1,$3.500,3.50000,,,0,N,,,04/11/2022,05/06/2022,N
1029~159~1176808~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,VERTEX,VERTEX,VERTEX,VERTEX,1176808,VERTEX CARBON BLOCK FLTR CARTRIDGE,,37.338,0,26.340,14.935,14.500,14.500,14.500,14.500,14.500,28,GP30.000937,28,GP30.000937,0,,,142859055,N,,,04/01/2022,06/30/2022,N
